2023-07-10 09:17:23,289 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfaceParkade/OpenPoleCallBack,参数描述{"dto":{"StartTime":"2023-07-04 00:00:00","EndTime":"2023-07-05 00:00:00"}}
2023-07-10 13:24:13,111 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:27:45,600 [15] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:28:07,445 [10] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:29:09,393 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:29:27,283 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:31:38,888 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:37:55,220 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:39:35,396 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.0.2.20190729&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.0.2.20190729","PDA":"357576032513424","Type":2}
2023-07-10 13:40:21,891 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.0.2.20190728&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.0.2.20190728","PDA":"357576032513424","Type":2}
2023-07-10 13:40:25,631 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.0.2.20190728&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.0.2.20190728","PDA":"357576032513424","Type":2}
2023-07-10 13:52:44,682 [8] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_token=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.0.2.20190728&PDA=357576032513424&Type=2,参数描述{"access_token":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.0.2.20190728","PDA":"357576032513424","Type":2}
2023-07-10 15:24:34,685 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfaceParkade/OpenPoleCallBack,参数描述{"dto":{"SerNum":"d6716c4918114aaebc06e14827a0b8cf","OptResultMsg":"aa","OptResultCode":"asd"}}
2023-07-10 15:25:09,099 [18] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfaceParkade/OpenPoleCallBack,参数描述{"dto":{"SerNum":"d6716c4918114aaebc06e14827a0b8cf","OptResultMsg":"aa","OptResultCode":"1"}}
2023-07-10 16:08:24,460 [23] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/DownParameterForInspectors?access_token=1557f48a-f211-4394-bddd-26986fbf8ce8,参数描述{"access_token":"1557f48a-f211-4394-bddd-26986fbf8ce8"}
2023-07-10 16:49:48,206 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetTypeCarDataList,参数描述{"input":{"StopType":1,"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815"}}
2023-07-10 16:52:37,786 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetTypeCarDataList,参数描述{"input":{"StopType":1,"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815"}}
2023-07-10 16:53:18,587 [14] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetTypeCarDataList,参数描述{"input":{"StopType":1,"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815"}}
2023-07-10 16:54:39,545 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetTypeCarDataList,参数描述{"input":{"StopType":1,"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
2023-07-10 16:55:52,360 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetTypeCarDataList,参数描述{"input":{"StopType":1,"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
2023-07-10 16:56:08,665 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetTypeCarDataList,参数描述{"input":{"StopType":1,"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
2023-07-10 16:57:26,717 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetTypeCarDataList,参数描述{"input":{"StopType":1,"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
