2023-06-27 09:19:26,441 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetAllFeeList,参数描述{"input":{"StartTime":"2023-06-01 00:00:00","access_token":"379d93dd-b5b9-433e-8ce3-defaf7474f4e","EndTime":"2023-06-02 00:00:00"}}
2023-06-27 14:27:49,602 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertTaskFeedbacks,参数描述{}
2023-06-27 14:28:32,297 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertTaskFeedbacks,参数描述{}
2023-06-27 14:35:14,579 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertTaskFeedbacks,参数描述{}
2023-06-27 14:47:09,444 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertTaskFeedbacks,参数描述{}
2023-06-27 14:58:49,712 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertTaskFeedbacks,参数描述{}
2023-06-27 15:13:31,823 [14] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertTaskFeedbacks,参数描述{}
2023-06-27 15:36:44,733 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertInspectorsEvent,参数描述{}
2023-06-27 15:41:05,941 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertInspectorsEvent,参数描述{}
2023-06-27 15:41:42,493 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertInspectorsEvent,参数描述{}
2023-06-27 15:42:32,263 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/InsertInspectorsEvent,参数描述{}
2023-06-27 16:33:14,709 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorTasks,参数描述{"input":{"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
2023-06-27 16:39:14,694 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorTasks,参数描述{"input":{"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
2023-06-27 16:55:12,374 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorEvent,参数描述{"input":{"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
2023-06-27 16:55:48,312 [8] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorEvent,参数描述{"input":{"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
2023-06-27 16:58:50,730 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorEvent,参数描述{"input":{"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
2023-06-27 17:13:02,871 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorTaskFeedbacks,参数描述{"input":{"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
2023-06-27 17:13:16,625 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorTaskFeedbacks,参数描述{"input":{"access_token":"378bd7a8-02cb-40bc-8c4b-6d8a524b3815","PageSize":"10","Page":"1"}}
